Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"1,5 mg","134,7 %"
Vitamina B11,"1,1 mg","274,7 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,4 mg","28,0 %"
Vitamina B3,"3,6 mg","22,5 %"
Vitamina B5,"2,6 mg","43,3 %"
Vitamina B6,"0,6 mg","44,3 %"
Vitamina C,"2,7 mg","3,3 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
