Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Sweeteners,Cioccolato,Sugary snacks
Grassi,"20,5 g","+1.304%1,46 g","-52%42,4 g","-8%22,2 g"
- Acidi Grassi saturi,"13,3 g","+1.399%0,887 g","-48%25,4 g","+23%10,8 g"
Carboidrati,"58,8 g","-22%75,2 g","+66%35,5 g",-0%59 g
- Zuccheri,"56,6 g","-25%75,5 g",+83%31 g,"+111%26,8 g"
Proteine,"3,5 g","+557%0,533 g","-60%8,73 g","-51%7,15 g"
Sale,"0,046 g","-84%0,291 g","-49%0,09 g","-90%0,477 g"
Sodio,"0,018 g","-84%0,115 g","-49%0,035 g","-90%0,188 g"
Nutrition score - France,25,?,"+17%21,3","+50%16,7"
Nutri-Score,E,B,E,D
