,0,1,2,3
1,Proteine(%): 26,,,
2,Lisina:,2040,7.67,
3,Istidina:,643,2.42,
4,Arginina:,685,2.58,
5,Acido aspartico:,1760,6.62,
6,Treonina:,893,3.36,
7,Serina:,1274,4.79,
8,Acido glutamico:,5115,19.23,
9,Prolina:,3030,11.39,
10,Glicina:,461,1.73,
11,Alanina:,762,2.86,
12,Cistina:,132,0.5,
13,Valina:,1854,6.97,
14,Metionina:,792,2.98,
15,Isoleucina:,1372,5.16,
16,Leucina:,2635,9.91,
17,Tirosina:,1402,5.27,
18,Fenilalanina:,1303,4.9,
19,Triptofano:,328,1.23,
20,Indice Chimico:,99,,
21,Aminoacido limitante:,Treo.,,
