,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,88.60,,
2,Calorie,kcal,38.00,,
3,Fibra alimentare,g,3.90,,
4,Proteine totali,g,2.60,,35.86
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,2.60,,
7,Glucidi disponibili,g,3.90,,51.72
8,Glucidi solubili,g,3.00,,
9,Amido,g,0.90,,
10,Lipidi totali,g,0.40,,12.41
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,0.40,,
13,Lipidi saturi totali,g,0.10,,
14,Acido oleico,g,0.01,,
15,Monoinsaturi totali,g,0.01,,
16,Acido linoleico,g,0.13,,
17,Acido linolenico,g,0.13,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.26,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.50,,
23,Calcio,mg,19.00,2.38,
24,Sodio,mg,47.00,,
25,Potassio,mg,248.00,8.00,
26,Fosforo,mg,58.00,7.25,
27,Zinco,mg,0.30,3.00,
28,Tiamina (Vit.B1),mg,0.06,4.26,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.14,8.75,
31,Niacina (Vit. PP),mg,0.90,4.94,
32,Vitamina C,mg,5.00,8.33,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,15.00,12.86,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,90.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.19,1.90,
