,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,80.10,,
2,Calorie,kcal,71.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,13.60,,90.97
5,Proteine animali,g,13.60,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,0.00,,0.00
8,Glucidi solubili,g,0.00,,
9,Amido,g,0.00,,
10,Lipidi totali,g,0.60,,9.03
11,Lipidi animali,g,0.60,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,0.09,,
14,Acido oleico,g,0.08,,
15,Monoinsaturi totali,g,0.13,,
16,Acido linoleico,g,0.01,,
17,Acido linolenico,g,0.01,,
18,Altri polinsaturi,g,0.18,,
19,Polinsaturi totali,g,0.20,,
20,Colesterolo,mg,150.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,1.80,,
23,Calcio,mg,110.00,13.75,
24,Sodio,mg,146.00,,
25,Potassio,mg,266.00,8.58,
26,Fosforo,mg,349.00,43.62,
27,Zinco,mg,1.10,11.00,
28,Tiamina (Vit.B1),mg,0.08,5.67,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.10,6.25,
31,Niacina (Vit. PP),mg,3.20,17.55,
32,Vitamina C,mg,2.00,3.33,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.82,8.20,
