,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,4.00,,
2,Calorie,kcal,454.00,,
3,Fibra alimentare,g,1.60,,
4,Proteine totali,g,7.10,,5.95
5,Proteine animali,g,4.70,,
6,Proteine vegetali,g,2.40,,
7,Glucidi disponibili,g,77.60,,65.75
8,Glucidi solubili,g,26.70,,
9,Amido,g,50.90,,
10,Lipidi totali,g,15.00,,28.30
11,Lipidi animali,g,10.00,,
12,Lipidi vegetali,g,5.00,,
13,Lipidi saturi totali,g,3.86,,
14,Acido oleico,g,7.97,,
15,Monoinsaturi totali,g,8.00,,
16,Acido linoleico,g,1.76,,
17,Acido linolenico,g,1.76,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,3.52,,
20,Colesterolo,mg,24.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,1.60,,
23,Calcio,mg,73.00,9.12,
24,Sodio,mg,70.00,,
25,Potassio,mg,160.00,5.16,
26,Fosforo,mg,83.00,10.38,
27,Zinco,mg,0.60,6.00,
28,Tiamina (Vit.B1),mg,0.09,6.38,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.08,5.00,
31,Niacina (Vit. PP),mg,0.50,2.74,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,1.90,19.00,
