,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,81.80,,
2,Calorie,kcal,66.00,,
3,Fibra alimentare,g,8.40,,
4,Proteine totali,g,2.20,,13.95
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,2.20,,
7,Glucidi disponibili,g,9.70,,57.51
8,Glucidi solubili,g,9.70,,
9,Amido,g,0.00,,
10,Lipidi totali,g,2.00,,28.54
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,2.00,,
13,Lipidi saturi totali,g,0.52,,
14,Acido oleico,g,0.10,,
15,Monoinsaturi totali,g,0.13,,
16,Acido linoleico,g,0.20,,
17,Acido linolenico,g,0.20,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.40,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,8.60,,
23,Calcio,mg,310.00,38.75,
24,Sodio,mg,3.00,,
25,Potassio,mg,330.00,10.65,
26,Fosforo,mg,39.00,4.88,
27,Zinco,mg,0.90,9.00,
28,Tiamina (Vit.B1),mg,0.07,4.96,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.32,20.00,
31,Niacina (Vit. PP),mg,6.20,34.01,
32,Vitamina C,mg,45.00,75.00,
33,Acido folico,mg,274.00,137.00,
34,Retinolo (equivalente),mcg,135.00,115.71,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,810.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,1.69,16.90,
