,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,13.40,,
2,Calorie,kcal,321.00,,
3,Fibra alimentare,g,9.60,,
4,Proteine totali,g,11.90,,13.56
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,11.90,,
7,Glucidi disponibili,g,68.40,,81.57
8,Glucidi solubili,g,2.10,,
9,Amido,g,66.30,,
10,Lipidi totali,g,1.90,,4.87
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,1.90,,
13,Lipidi saturi totali,g,0.43,,
14,Acido oleico,g,0.21,,
15,Monoinsaturi totali,g,0.21,,
16,Acido linoleico,g,1.10,,
17,Acido linolenico,g,1.10,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,2.20,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,3.00,,
23,Calcio,mg,28.00,3.50,
24,Sodio,mg,3.00,,
25,Potassio,mg,337.00,10.87,
26,Fosforo,mg,300.00,37.50,
27,Zinco,mg,2.90,29.00,
28,Tiamina (Vit.B1),mg,0.40,28.37,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.16,10.00,
31,Niacina (Vit. PP),mg,5.00,27.43,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,1.21,12.10,
