,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,19.70,,
2,Calorie,kcal,359.00,,
3,Fibra alimentare,g,1.00,,
4,Proteine totali,g,5.50,,5.97
5,Proteine animali,g,3.80,,
6,Proteine vegetali,g,1.70,,
7,Glucidi disponibili,g,69.80,,73.76
8,Glucidi solubili,g,46.50,,
9,Amido,g,23.30,,
10,Lipidi totali,g,8.30,,20.27
11,Lipidi animali,g,7.90,,
12,Lipidi vegetali,g,0.40,,
13,Lipidi saturi totali,g,2.45,,
14,Acido oleico,g,2.95,,
15,Monoinsaturi totali,g,3.25,,
16,Acido linoleico,g,1.06,,
17,Acido linolenico,g,1.06,,
18,Altri polinsaturi,g,0.06,,
19,Polinsaturi totali,g,2.18,,
20,Colesterolo,mg,188.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.80,,
23,Calcio,mg,11.00,1.38,
24,Sodio,mg,130.00,,
25,Potassio,mg,98.00,3.16,
26,Fosforo,mg,55.00,6.88,
27,Zinco,mg,0.70,7.00,
28,Tiamina (Vit.B1),mg,0.07,4.96,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.17,10.62,
31,Niacina (Vit. PP),mg,0.30,1.65,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,13.00,6.50,
34,Retinolo (equivalente),mcg,78.83,14.71,
35,Retinolo,mcg,74.00,,
36,Carotene,mcg,29.00,,
37,Vitamina D,mcg,0.50,5.00,
38,Vitamina E,mg,0.73,7.30,
