,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,76.00,,
2,Calorie,kcal,105.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,17.10,,64.96
5,Proteine animali,g,17.10,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,0.00,,0.00
8,Glucidi solubili,g,0.00,,
9,Amido,g,0.00,,
10,Lipidi totali,g,4.10,,35.04
11,Lipidi animali,g,4.10,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,0.69,,
14,Acido oleico,g,0.49,,
15,Monoinsaturi totali,g,0.75,,
16,Acido linoleico,g,0.22,,
17,Acido linolenico,g,0.22,,
18,Altri polinsaturi,g,0.90,,
19,Polinsaturi totali,g,1.34,,
20,Colesterolo,mg,105.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,2.20,,
23,Calcio,mg,33.00,4.12,
24,Sodio,mg,150.00,,
25,Potassio,mg,260.00,8.39,
26,Fosforo,mg,240.00,30.00,
27,Zinco,mg,1.30,13.00,
28,Tiamina (Vit.B1),mg,0.05,3.55,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.04,2.50,
31,Niacina (Vit. PP),mg,1.90,10.42,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,2.85,28.50,
