,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,29.00,,
2,Calorie,kcal,290.00,,
3,Fibra alimentare,g,3.00,,
4,Proteine totali,g,8.20,,10.28
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,8.20,,
7,Glucidi disponibili,g,67.50,,88.59
8,Glucidi solubili,g,1.90,,
9,Amido,g,65.60,,
10,Lipidi totali,g,0.40,,1.13
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,0.40,,
13,Lipidi saturi totali,g,0.10,,
14,Acido oleico,g,0.04,,
15,Monoinsaturi totali,g,0.04,,
16,Acido linoleico,g,0.23,,
17,Acido linolenico,g,0.23,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.46,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.80,,
23,Calcio,mg,14.00,1.75,
24,Sodio,mg,640.00,,
25,Potassio,mg,176.00,5.68,
26,Fosforo,mg,63.00,7.88,
27,Zinco,mg,0.90,9.00,
28,Tiamina (Vit.B1),mg,0.04,2.84,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.06,3.75,
31,Niacina (Vit. PP),mg,0.80,4.39,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,29.00,14.50,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.00,0.00,
