,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,30.00,,
2,Calorie,kcal,439.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,37.70,,34.39
5,Proteine animali,g,37.70,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,2.10,,1.79
8,Glucidi solubili,g,2.10,,
9,Amido,g,0.00,,
10,Lipidi totali,g,31.10,,63.82
11,Lipidi animali,g,31.10,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,19.95,,
14,Acido oleico,g,7.20,,
15,Monoinsaturi totali,g,8.64,,
16,Acido linoleico,g,0.58,,
17,Acido linolenico,g,0.58,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,1.16,,
20,Colesterolo,mg,90.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.30,,
23,Calcio,mg,860.00,107.50,
24,Sodio,mg,1259.00,,
25,Potassio,mg,138.00,4.45,
26,Fosforo,mg,590.00,73.75,
27,Zinco,mg,3.20,32.00,
28,Tiamina (Vit.B1),mg,0.01,0.71,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.45,28.12,
31,Niacina (Vit. PP),mg,0.20,1.10,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,336.00,78.00,
35,Retinolo,mcg,294.00,,
36,Carotene,mcg,252.00,,
37,Vitamina D,mcg,0.16,1.60,
38,Vitamina E,mg,0.35,3.50,
