,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,19.20,,
2,Calorie,kcal,582.00,,
3,Fibra alimentare,g,5.20,,
4,Proteine totali,g,10.50,,7.21
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,10.50,,
7,Glucidi disponibili,g,5.50,,3.70
8,Glucidi solubili,g,3.40,,
9,Amido,g,2.10,,
10,Lipidi totali,g,57.70,,89.10
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,57.70,,
13,Lipidi saturi totali,g,4.72,,
14,Acido oleico,g,7.94,,
15,Monoinsaturi totali,g,8.08,,
16,Acido linoleico,g,28.82,,
17,Acido linolenico,g,28.82,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,57.64,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,2.60,,
23,Calcio,mg,131.00,16.38,
24,Sodio,mg,3.00,,
25,Potassio,mg,690.00,22.26,
26,Fosforo,mg,238.00,29.75,
27,Zinco,mg,3.00,30.00,
28,Tiamina (Vit.B1),mg,0.58,41.13,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.17,10.62,
31,Niacina (Vit. PP),mg,0.80,4.39,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,66.00,33.00,
34,Retinolo (equivalente),mcg,6.00,5.14,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,36.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,3.85,38.50,
