,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,40.50,,
2,Calorie,kcal,247.00,,
3,Fibra alimentare,g,3.10,,
4,Proteine totali,g,3.90,,6.31
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,3.90,,
7,Glucidi disponibili,g,48.00,,79.14
8,Glucidi solubili,g,12.60,,
9,Amido,g,35.40,,
10,Lipidi totali,g,4.00,,14.55
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,4.00,,
13,Lipidi saturi totali,g,0.68,,
14,Acido oleico,g,2.62,,
15,Monoinsaturi totali,g,2.64,,
16,Acido linoleico,g,0.55,,
17,Acido linolenico,g,0.55,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,1.10,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.00,,
23,Calcio,mg,12.00,1.50,
24,Sodio,mg,210.00,,
25,Potassio,mg,176.00,5.68,
26,Fosforo,mg,49.00,6.12,
27,Zinco,mg,0.70,7.00,
28,Tiamina (Vit.B1),mg,0.23,16.31,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.10,6.25,
31,Niacina (Vit. PP),mg,1.90,10.42,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,62.00,31.00,
34,Retinolo (equivalente),mcg,60.50,51.86,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,363.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,1.83,18.30,
