,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,73.00,,
2,Calorie,kcal,121.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,20.00,,65.90
5,Proteine animali,g,20.00,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,0.00,,0.00
8,Glucidi solubili,g,0.00,,
9,Amido,g,0.00,,
10,Lipidi totali,g,4.60,,34.10
11,Lipidi animali,g,4.60,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,2.17,,
14,Acido oleico,g,1.64,,
15,Monoinsaturi totali,g,1.70,,
16,Acido linoleico,g,0.11,,
17,Acido linolenico,g,0.11,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.22,,
20,Colesterolo,mg,71.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,2.00,,
23,Calcio,mg,10.00,1.25,
24,Sodio,mg,100.00,,
25,Potassio,mg,350.00,11.29,
26,Fosforo,mg,196.00,24.50,
27,Zinco,mg,3.30,33.00,
28,Tiamina (Vit.B1),mg,0.10,7.09,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.20,12.50,
31,Niacina (Vit. PP),mg,4.90,26.88,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,6.00,0.86,
35,Retinolo,mcg,6.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.40,4.00,
38,Vitamina E,mg,0.09,0.90,
