,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,7.60,,
2,Calorie,kcal,271.00,,
3,Fibra alimentare,g,18.10,,
4,Proteine totali,g,12.70,,18.63
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,12.70,,
7,Glucidi disponibili,g,42.50,,58.28
8,Glucidi solubili,g,42.50,,
9,Amido,g,0.00,,
10,Lipidi totali,g,7.00,,23.10
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,7.00,,
13,Lipidi saturi totali,g,1.17,,
14,Acido oleico,g,2.54,,
15,Monoinsaturi totali,g,2.61,,
16,Acido linoleico,g,1.02,,
17,Acido linolenico,g,1.02,,
18,Altri polinsaturi,g,0.01,,
19,Polinsaturi totali,g,2.05,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,82.70,,
23,Calcio,mg,1990.00,248.75,
24,Sodio,mg,77.00,,
25,Potassio,mg,1520.00,49.03,
26,Fosforo,mg,310.00,38.75,
27,Zinco,mg,3.60,36.00,
28,Tiamina (Vit.B1),mg,0.29,20.57,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.32,20.00,
31,Niacina (Vit. PP),mg,4.10,22.49,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,806.67,691.43,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,4840.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,9.15,91.50,
