,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,78.60,,
2,Calorie,kcal,95.00,,
3,Fibra alimentare,g,0.20,,
4,Proteine totali,g,3.50,,14.52
5,Proteine animali,g,3.20,,
6,Proteine vegetali,g,0.30,,
7,Glucidi disponibili,g,12.90,,51.89
8,Glucidi solubili,g,9.00,,
9,Amido,g,3.90,,
10,Lipidi totali,g,3.60,,33.60
11,Lipidi animali,g,3.50,,
12,Lipidi vegetali,g,0.10,,
13,Lipidi saturi totali,g,1.87,,
14,Acido oleico,g,0.76,,
15,Monoinsaturi totali,g,0.77,,
16,Acido linoleico,g,0.09,,
17,Acido linolenico,g,0.09,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.18,,
20,Colesterolo,mg,16.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.30,,
23,Calcio,mg,104.00,13.00,
24,Sodio,mg,44.00,,
25,Potassio,mg,140.00,4.52,
26,Fosforo,mg,81.00,10.12,
27,Zinco,mg,0.50,5.00,
28,Tiamina (Vit.B1),mg,0.08,5.67,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.22,13.75,
31,Niacina (Vit. PP),mg,0.90,4.94,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,29.00,14.50,
34,Retinolo (equivalente),mcg,25.00,5.00,
35,Retinolo,mcg,23.00,,
36,Carotene,mcg,12.00,,
37,Vitamina D,mcg,0.04,0.40,
38,Vitamina E,mg,0.07,0.70,
