,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,10.00,,
2,Calorie,kcal,416.00,,
3,Fibra alimentare,g,15.60,,
4,Proteine totali,g,28.00,,26.42
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,28.00,,
7,Glucidi disponibili,g,55.00,,52.35
8,Glucidi solubili,g,19.70,,
9,Amido,g,35.30,,
10,Lipidi totali,g,10.00,,21.23
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,10.00,,
13,Lipidi saturi totali,g,1.72,,
14,Acido oleico,g,1.37,,
15,Monoinsaturi totali,g,1.41,,
16,Acido linoleico,g,5.45,,
17,Acido linolenico,g,5.45,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,10.90,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,10.00,,
23,Calcio,mg,0.00,0.00,
24,Sodio,mg,3.00,,
25,Potassio,mg,827.00,26.68,
26,Fosforo,mg,1100.00,137.50,
27,Zinco,mg,17.00,170.00,
28,Tiamina (Vit.B1),mg,2.44,173.05,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.61,38.12,
31,Niacina (Vit. PP),mg,6.20,34.01,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,240.00,205.71,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,1440.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,22.00,220.00,
