,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,94.30,,
2,Calorie,kcal,10.00,,
3,Fibra alimentare,g,1.50,,
4,Proteine totali,g,0.60,,24.62
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,0.60,,
7,Glucidi disponibili,g,1.70,,66.15
8,Glucidi solubili,g,1.50,,
9,Amido,g,0.20,,
10,Lipidi totali,g,0.10,,9.23
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,0.10,,
13,Lipidi saturi totali,g,0.01,,
14,Acido oleico,g,0.02,,
15,Monoinsaturi totali,g,0.02,,
16,Acido linoleico,g,0.04,,
17,Acido linolenico,g,0.04,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.08,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.20,,
23,Calcio,mg,96.00,12.00,
24,Sodio,mg,23.00,,
25,Potassio,mg,293.00,9.45,
26,Fosforo,mg,11.00,1.38,
27,Zinco,mg,0.20,2.00,
28,Tiamina (Vit.B1),mg,0.02,1.42,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.04,2.50,
31,Niacina (Vit. PP),mg,0.20,1.10,
32,Vitamina C,mg,4.00,6.67,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.19,1.90,
