,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,30.60,,
2,Calorie,kcal,424.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,28.50,,26.86
5,Proteine animali,g,28.50,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,1.20,,1.06
8,Glucidi solubili,g,1.20,,
9,Amido,g,0.00,,
10,Lipidi totali,g,34.00,,72.09
11,Lipidi animali,g,34.00,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,10.80,,
14,Acido oleico,g,14.91,,
15,Monoinsaturi totali,g,16.33,,
16,Acido linoleico,g,4.17,,
17,Acido linolenico,g,4.17,,
18,Altri polinsaturi,g,0.52,,
19,Polinsaturi totali,g,8.86,,
20,Colesterolo,mg,99.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,1.80,,
23,Calcio,mg,59.00,7.38,
24,Sodio,mg,2064.00,,
25,Potassio,mg,600.00,19.35,
26,Fosforo,mg,356.00,44.50,
27,Zinco,mg,5.00,50.00,
28,Tiamina (Vit.B1),mg,0.28,19.86,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.16,10.00,
31,Niacina (Vit. PP),mg,2.50,13.71,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,3.00,1.50,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.28,2.80,
