,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,86.00,,
2,Calorie,kcal,38.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,0.10,,1.06
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,0.10,,
7,Glucidi disponibili,g,10.00,,98.94
8,Glucidi solubili,g,10.00,,
9,Amido,g,0.00,,
10,Lipidi totali,g,0.00,,0.00
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,0.00,,
14,Acido oleico,g,0.00,,
15,Monoinsaturi totali,g,0.00,,
16,Acido linoleico,g,0.00,,
17,Acido linolenico,g,0.00,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.00,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.30,,
23,Calcio,mg,11.00,1.38,
24,Sodio,mg,0.00,,
25,Potassio,mg,18.00,0.58,
26,Fosforo,mg,5.00,0.62,
27,Zinco,mg,0.20,2.00,
28,Tiamina (Vit.B1),mg,0.00,0.00,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.00,0.00,
31,Niacina (Vit. PP),mg,0.00,0.00,
32,Vitamina C,mg,1.00,1.67,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,15.67,13.43,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,94.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.00,0.00,
