,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,34.60,,
2,Calorie,kcal,403.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,28.50,,28.30
5,Proteine animali,g,28.50,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,3.60,,3.34
8,Glucidi solubili,g,3.60,,
9,Amido,g,0.00,,
10,Lipidi totali,g,30.60,,68.36
11,Lipidi animali,g,30.60,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,18.40,,
14,Acido oleico,g,9.05,,
15,Monoinsaturi totali,g,9.82,,
16,Acido linoleico,g,1.37,,
17,Acido linolenico,g,1.37,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,2.74,,
20,Colesterolo,mg,100.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.30,,
23,Calcio,mg,1145.00,143.12,
24,Sodio,mg,450.00,,
25,Potassio,mg,107.00,3.45,
26,Fosforo,mg,700.00,87.50,
27,Zinco,mg,5.00,50.00,
28,Tiamina (Vit.B1),mg,0.01,0.71,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.45,28.12,
31,Niacina (Vit. PP),mg,0.10,0.55,
32,Vitamina C,mg,1.00,1.67,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,135.67,27.71,
35,Retinolo,mcg,124.00,,
36,Carotene,mcg,70.00,,
37,Vitamina D,mcg,0.25,2.50,
38,Vitamina E,mg,0.44,4.40,
