,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,7.10,,
2,Calorie,kcal,571.00,,
3,Fibra alimentare,g,7.30,,
4,Proteine totali,g,26.00,,18.13
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,26.00,,
7,Glucidi disponibili,g,11.20,,7.84
8,Glucidi solubili,g,4.50,,
9,Amido,g,6.70,,
10,Lipidi totali,g,47.20,,74.04
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,47.20,,
13,Lipidi saturi totali,g,6.73,,
14,Acido oleico,g,21.27,,
15,Monoinsaturi totali,g,21.76,,
16,Acido linoleico,g,12.97,,
17,Acido linolenico,g,12.97,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,25.94,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,3.20,,
23,Calcio,mg,60.00,7.50,
24,Sodio,mg,2.00,,
25,Potassio,mg,670.00,21.61,
26,Fosforo,mg,239.00,29.88,
27,Zinco,mg,3.50,35.00,
28,Tiamina (Vit.B1),mg,1.52,107.80,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.09,5.62,
31,Niacina (Vit. PP),mg,13.80,75.70,
32,Vitamina C,mg,2.00,3.33,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,10.09,100.90,
