,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,1.90,,
2,Calorie,kcal,602.00,,
3,Fibra alimentare,g,6.90,,
4,Proteine totali,g,24.50,,16.25
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,24.50,,
7,Glucidi disponibili,g,7.10,,4.65
8,Glucidi solubili,g,3.80,,
9,Amido,g,3.30,,
10,Lipidi totali,g,53.00,,79.10
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,53.00,,
13,Lipidi saturi totali,g,7.56,,
14,Acido oleico,g,23.88,,
15,Monoinsaturi totali,g,24.43,,
16,Acido linoleico,g,14.56,,
17,Acido linolenico,g,14.56,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,29.12,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,1.30,,
23,Calcio,mg,37.00,4.62,
24,Sodio,mg,400.00,,
25,Potassio,mg,810.00,26.13,
26,Fosforo,mg,410.00,51.25,
27,Zinco,mg,2.90,29.00,
28,Tiamina (Vit.B1),mg,0.18,12.77,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.10,6.25,
31,Niacina (Vit. PP),mg,13.60,74.60,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.66,6.60,
