,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,86.00,,
2,Calorie,kcal,38.00,,
3,Fibra alimentare,g,3.30,,
4,Proteine totali,g,0.70,,7.29
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,0.70,,
7,Glucidi disponibili,g,8.80,,85.68
8,Glucidi solubili,g,8.80,,
9,Amido,g,0.00,,
10,Lipidi totali,g,0.30,,7.03
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,0.30,,
13,Lipidi saturi totali,g,0.03,,
14,Acido oleico,g,0.02,,
15,Monoinsaturi totali,g,0.03,,
16,Acido linoleico,g,0.05,,
17,Acido linolenico,g,0.05,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.10,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.00,,
23,Calcio,mg,60.00,7.50,
24,Sodio,mg,3.00,,
25,Potassio,mg,177.00,5.71,
26,Fosforo,mg,25.00,3.12,
27,Zinco,mg,0.10,1.00,
28,Tiamina (Vit.B1),mg,0.06,4.26,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.03,1.88,
31,Niacina (Vit. PP),mg,0.50,2.74,
32,Vitamina C,mg,11.00,18.33,
33,Acido folico,mg,12.00,6.00,
34,Retinolo (equivalente),mcg,40.00,34.29,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,240.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.29,2.90,
