,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,12.00,,
2,Calorie,kcal,358.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,80.10,,90.00
5,Proteine animali,g,80.10,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,1.10,,1.16
8,Glucidi solubili,g,1.10,,
9,Amido,g,0.00,,
10,Lipidi totali,g,3.50,,8.85
11,Lipidi animali,g,3.50,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,0.68,,
14,Acido oleico,g,0.32,,
15,Monoinsaturi totali,g,0.51,,
16,Acido linoleico,g,0.03,,
17,Acido linolenico,g,0.03,,
18,Altri polinsaturi,g,1.15,,
19,Polinsaturi totali,g,1.21,,
20,Colesterolo,mg,82.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,3.30,,
23,Calcio,mg,60.00,7.50,
24,Sodio,mg,500.00,,
25,Potassio,mg,1500.00,48.39,
26,Fosforo,mg,450.00,56.25,
27,Zinco,mg,1.60,16.00,
28,Tiamina (Vit.B1),mg,0.14,9.93,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.50,31.25,
31,Niacina (Vit. PP),mg,3.50,19.20,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,25.00,12.50,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.60,6.00,
