,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,79.00,,
2,Calorie,kcal,82.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,16.50,,80.74
5,Proteine animali,g,16.50,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,0.60,,2.75
8,Glucidi solubili,g,0.60,,
9,Amido,g,0.00,,
10,Lipidi totali,g,1.50,,16.51
11,Lipidi animali,g,1.50,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,0.24,,
14,Acido oleico,g,0.24,,
15,Monoinsaturi totali,g,0.36,,
16,Acido linoleico,g,0.00,,
17,Acido linolenico,g,0.00,,
18,Altri polinsaturi,g,0.30,,
19,Polinsaturi totali,g,0.30,,
20,Colesterolo,mg,64.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,1.10,,
23,Calcio,mg,20.00,2.50,
24,Sodio,mg,69.00,,
25,Potassio,mg,256.00,8.26,
26,Fosforo,mg,202.00,25.25,
27,Zinco,mg,0.30,3.00,
28,Tiamina (Vit.B1),mg,0.11,7.80,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.16,10.00,
31,Niacina (Vit. PP),mg,3.00,16.46,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,9.00,4.50,
34,Retinolo (equivalente),mcg,15.00,2.14,
35,Retinolo,mcg,15.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.50,5.00,
