,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,76.00,,
2,Calorie,kcal,103.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,15.00,,58.06
5,Proteine animali,g,15.00,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,1.00,,3.62
8,Glucidi solubili,g,1.00,,
9,Amido,g,0.00,,
10,Lipidi totali,g,4.40,,38.32
11,Lipidi animali,g,4.40,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,0.57,,
14,Acido oleico,g,0.41,,
15,Monoinsaturi totali,g,0.85,,
16,Acido linoleico,g,0.00,,
17,Acido linolenico,g,0.00,,
18,Altri polinsaturi,g,2.26,,
19,Polinsaturi totali,g,2.26,,
20,Colesterolo,mg,70.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,1.20,,
23,Calcio,mg,38.00,4.75,
24,Sodio,mg,77.00,,
25,Potassio,mg,350.00,11.29,
26,Fosforo,mg,264.00,33.00,
27,Zinco,mg,0.50,5.00,
28,Tiamina (Vit.B1),mg,0.08,5.67,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.10,6.25,
31,Niacina (Vit. PP),mg,2.80,15.36,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,5.00,2.50,
34,Retinolo (equivalente),mcg,48.00,6.86,
35,Retinolo,mcg,48.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.40,4.00,
