,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,82.00,,
2,Calorie,kcal,70.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,13.50,,81.08
5,Proteine animali,g,13.50,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,0.00,,0.00
8,Glucidi solubili,g,0.00,,
9,Amido,g,0.00,,
10,Lipidi totali,g,1.40,,18.92
11,Lipidi animali,g,1.40,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,0.19,,
14,Acido oleico,g,0.09,,
15,Monoinsaturi totali,g,0.19,,
16,Acido linoleico,g,0.09,,
17,Acido linolenico,g,0.09,,
18,Altri polinsaturi,g,0.37,,
19,Polinsaturi totali,g,0.55,,
20,Colesterolo,mg,200.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.20,,
23,Calcio,mg,15.00,1.88,
24,Sodio,mg,216.00,,
25,Potassio,mg,171.00,5.52,
26,Fosforo,mg,194.00,24.25,
27,Zinco,mg,1.40,14.00,
28,Tiamina (Vit.B1),mg,0.07,4.96,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.03,1.88,
31,Niacina (Vit. PP),mg,0.90,4.94,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,15.00,2.14,
35,Retinolo,mcg,15.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,1.20,12.00,
