,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,13.20,,
2,Calorie,kcal,364.00,,
3,Fibra alimentare,g,2.10,,
4,Proteine totali,g,8.10,,8.05
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,8.10,,
7,Glucidi disponibili,g,84.90,,88.59
8,Glucidi solubili,g,0.40,,
9,Amido,g,84.50,,
10,Lipidi totali,g,1.50,,3.36
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,1.50,,
13,Lipidi saturi totali,g,0.33,,
14,Acido oleico,g,0.44,,
15,Monoinsaturi totali,g,0.46,,
16,Acido linoleico,g,0.42,,
17,Acido linolenico,g,0.42,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.84,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,2.00,,
23,Calcio,mg,12.00,1.50,
24,Sodio,mg,1.00,,
25,Potassio,mg,220.00,7.10,
26,Fosforo,mg,150.00,18.75,
27,Zinco,mg,2.60,26.00,
28,Tiamina (Vit.B1),mg,0.28,19.86,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.07,4.38,
31,Niacina (Vit. PP),mg,2.80,15.36,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.00,0.00,
