,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,70.20,,
2,Calorie,kcal,145.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,22.00,,60.57
5,Proteine animali,g,22.00,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,0.40,,1.03
8,Glucidi solubili,g,0.40,,
9,Amido,g,0.00,,
10,Lipidi totali,g,6.20,,38.40
11,Lipidi animali,g,6.20,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,2.01,,
14,Acido oleico,g,1.90,,
15,Monoinsaturi totali,g,2.20,,
16,Acido linoleico,g,1.07,,
17,Acido linolenico,g,1.07,,
18,Altri polinsaturi,g,0.18,,
19,Polinsaturi totali,g,2.32,,
20,Colesterolo,mg,57.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,2.50,,
23,Calcio,mg,23.00,2.88,
24,Sodio,mg,51.00,,
25,Potassio,mg,320.00,10.32,
26,Fosforo,mg,290.00,36.25,
27,Zinco,mg,1.00,10.00,
28,Tiamina (Vit.B1),mg,0.08,5.67,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.13,8.12,
31,Niacina (Vit. PP),mg,11.00,60.34,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,9.00,4.50,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.30,3.00,
38,Vitamina E,mg,0.00,0.00,
