,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,92.50,,
2,Calorie,kcal,21.00,,
3,Fibra alimentare,g,0.40,,
4,Proteine totali,g,0.40,,5.90
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,0.40,,
7,Glucidi disponibili,g,6.10,,84.14
8,Glucidi solubili,g,6.10,,
9,Amido,g,0.00,,
10,Lipidi totali,g,0.30,,9.96
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,0.30,,
13,Lipidi saturi totali,g,0.04,,
14,Acido oleico,g,0.01,,
15,Monoinsaturi totali,g,0.01,,
16,Acido linoleico,g,0.06,,
17,Acido linolenico,g,0.06,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.12,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.10,,
23,Calcio,mg,11.00,1.38,
24,Sodio,mg,21.00,,
25,Potassio,mg,102.00,3.29,
26,Fosforo,mg,9.00,1.12,
27,Zinco,mg,0.10,1.00,
28,Tiamina (Vit.B1),mg,0.04,2.84,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.01,0.62,
31,Niacina (Vit. PP),mg,0.20,1.10,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,10.00,5.00,
34,Retinolo (equivalente),mcg,2.00,1.71,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,12.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.09,0.90,
