,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,2.10,,
2,Calorie,kcal,571.00,,
3,Fibra alimentare,g,1.40,,
4,Proteine totali,g,9.30,,6.53
5,Proteine animali,g,5.40,,
6,Proteine vegetali,g,3.90,,
7,Glucidi disponibili,g,45.90,,30.13
8,Glucidi solubili,g,45.90,,
9,Amido,g,0.00,,
10,Lipidi totali,g,40.10,,63.34
11,Lipidi animali,g,22.10,,
12,Lipidi vegetali,g,18.00,,
13,Lipidi saturi totali,g,20.15,,
14,Acido oleico,g,14.42,,
15,Monoinsaturi totali,g,14.63,,
16,Acido linoleico,g,1.43,,
17,Acido linolenico,g,1.43,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,2.86,,
20,Colesterolo,mg,25.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,3.00,,
23,Calcio,mg,251.00,31.37,
24,Sodio,mg,109.00,,
25,Potassio,mg,425.00,13.71,
26,Fosforo,mg,219.00,27.38,
27,Zinco,mg,0.30,3.00,
28,Tiamina (Vit.B1),mg,0.13,9.22,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.36,22.50,
31,Niacina (Vit. PP),mg,0.80,4.39,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,33.00,8.29,
35,Retinolo,mcg,28.00,,
36,Carotene,mcg,30.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,2.99,29.90,
