,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,93.00,,
2,Calorie,kcal,22.00,,
3,Fibra alimentare,g,0.90,,
4,Proteine totali,g,0.90,,14.37
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,0.90,,
7,Glucidi disponibili,g,5.00,,74.85
8,Glucidi solubili,g,4.90,,
9,Amido,g,0.10,,
10,Lipidi totali,g,0.30,,10.78
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,0.30,,
13,Lipidi saturi totali,g,0.05,,
14,Acido oleico,g,0.02,,
15,Monoinsaturi totali,g,0.02,,
16,Acido linoleico,g,0.14,,
17,Acido linolenico,g,0.14,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.28,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.70,,
23,Calcio,mg,17.00,2.12,
24,Sodio,mg,30.00,,
25,Potassio,mg,117.00,3.77,
26,Fosforo,mg,28.00,3.50,
27,Zinco,mg,0.20,2.00,
28,Tiamina (Vit.B1),mg,0.05,3.55,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.07,4.38,
31,Niacina (Vit. PP),mg,0.50,2.74,
32,Vitamina C,mg,151.00,251.67,
33,Acido folico,mg,22.00,11.00,
34,Retinolo (equivalente),mcg,139.17,119.29,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,835.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.60,6.00,
