,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,66.30,,
2,Calorie,kcal,204.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,18.10,,35.53
5,Proteine animali,g,18.10,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,0.00,,0.00
8,Glucidi solubili,g,0.00,,
9,Amido,g,0.00,,
10,Lipidi totali,g,14.60,,64.47
11,Lipidi animali,g,14.60,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,6.18,,
14,Acido oleico,g,6.03,,
15,Monoinsaturi totali,g,7.15,,
16,Acido linoleico,g,0.28,,
17,Acido linolenico,g,0.28,,
18,Altri polinsaturi,g,0.14,,
19,Polinsaturi totali,g,0.70,,
20,Colesterolo,mg,71.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,2.00,,
23,Calcio,mg,10.00,1.25,
24,Sodio,mg,51.00,,
25,Potassio,mg,330.00,10.65,
26,Fosforo,mg,168.00,21.00,
27,Zinco,mg,3.90,39.00,
28,Tiamina (Vit.B1),mg,0.07,4.96,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.11,6.87,
31,Niacina (Vit. PP),mg,4.70,25.78,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,14.00,7.00,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.50,5.00,
38,Vitamina E,mg,0.17,1.70,
