,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,60.10,,
2,Calorie,kcal,243.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,19.90,,32.78
5,Proteine animali,g,19.90,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,4.90,,7.55
8,Glucidi solubili,g,4.90,,
9,Amido,g,0.00,,
10,Lipidi totali,g,16.10,,59.67
11,Lipidi animali,g,16.10,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,10.01,,
14,Acido oleico,g,3.91,,
15,Monoinsaturi totali,g,4.55,,
16,Acido linoleico,g,0.33,,
17,Acido linolenico,g,0.33,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.66,,
20,Colesterolo,mg,50.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.20,,
23,Calcio,mg,403.00,50.38,
24,Sodio,mg,137.00,,
25,Potassio,mg,38.00,1.23,
26,Fosforo,mg,239.00,29.88,
27,Zinco,mg,4.30,43.00,
28,Tiamina (Vit.B1),mg,0.05,3.55,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.51,31.87,
31,Niacina (Vit. PP),mg,0.40,2.19,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,15.00,7.50,
34,Retinolo (equivalente),mcg,163.33,35.71,
35,Retinolo,mcg,146.00,,
36,Carotene,mcg,104.00,,
37,Vitamina D,mcg,0.10,1.00,
38,Vitamina E,mg,0.20,2.00,
