,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,5.80,,
2,Calorie,kcal,342.00,,
3,Fibra alimentare,g,11.60,,
4,Proteine totali,g,10.70,,11.49
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,10.70,,
7,Glucidi disponibili,g,74.90,,83.68
8,Glucidi solubili,g,6.40,,
9,Amido,g,68.50,,
10,Lipidi totali,g,2.00,,4.83
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,2.00,,
13,Lipidi saturi totali,g,0.46,,
14,Acido oleico,g,0.22,,
15,Monoinsaturi totali,g,0.22,,
16,Acido linoleico,g,1.16,,
17,Acido linolenico,g,1.16,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,2.32,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,6.00,,
23,Calcio,mg,35.00,4.38,
24,Sodio,mg,370.00,,
25,Potassio,mg,370.00,11.94,
26,Fosforo,mg,290.00,36.25,
27,Zinco,mg,2.00,20.00,
28,Tiamina (Vit.B1),mg,0.70,49.65,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,1.00,62.50,
31,Niacina (Vit. PP),mg,10.00,54.85,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,1.03,10.30,
