,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,12.40,,
2,Calorie,kcal,364.00,,
3,Fibra alimentare,g,2.20,,
4,Proteine totali,g,6.70,,7.27
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,6.70,,
7,Glucidi disponibili,g,79.30,,90.29
8,Glucidi solubili,g,0.00,,
9,Amido,g,79.30,,
10,Lipidi totali,g,1.00,,2.44
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,1.00,,
13,Lipidi saturi totali,g,0.27,,
14,Acido oleico,g,0.31,,
15,Monoinsaturi totali,g,0.31,,
16,Acido linoleico,g,0.22,,
17,Acido linolenico,g,0.22,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.44,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,1.20,,
23,Calcio,mg,7.00,0.88,
24,Sodio,mg,2.00,,
25,Potassio,mg,150.00,4.84,
26,Fosforo,mg,130.00,16.25,
27,Zinco,mg,2.00,20.00,
28,Tiamina (Vit.B1),mg,0.20,14.18,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.08,5.00,
31,Niacina (Vit. PP),mg,2.60,14.26,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,11.00,5.50,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.13,1.30,
