,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,17.00,,
2,Calorie,kcal,232.00,,
3,Fibra alimentare,g,18.50,,
4,Proteine totali,g,3.60,,6.23
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,3.60,,
7,Glucidi disponibili,g,52.90,,85.59
8,Glucidi solubili,g,52.90,,
9,Amido,g,0.00,,
10,Lipidi totali,g,2.10,,8.18
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,2.10,,
13,Lipidi saturi totali,g,0.42,,
14,Acido oleico,g,0.46,,
15,Monoinsaturi totali,g,0.46,,
16,Acido linoleico,g,1.00,,
17,Acido linolenico,g,1.00,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,2.00,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,4.20,,
23,Calcio,mg,280.00,35.00,
24,Sodio,mg,87.00,,
25,Potassio,mg,1010.00,32.58,
26,Fosforo,mg,92.00,11.50,
27,Zinco,mg,0.90,9.00,
28,Tiamina (Vit.B1),mg,0.16,11.35,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.12,7.50,
31,Niacina (Vit. PP),mg,1.70,9.33,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,8.33,7.14,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,50.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.00,0.00,
