,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,45.00,,
2,Calorie,kcal,351.00,,
3,Fibra alimentare,g,12.20,,
4,Proteine totali,g,3.20,,3.65
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,3.20,,
7,Glucidi disponibili,g,3.70,,3.95
8,Glucidi solubili,g,3.70,,
9,Amido,g,0.00,,
10,Lipidi totali,g,36.00,,92.40
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,36.00,,
13,Lipidi saturi totali,g,30.93,,
14,Acido oleico,g,2.24,,
15,Monoinsaturi totali,g,2.38,,
16,Acido linoleico,g,0.61,,
17,Acido linolenico,g,0.61,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,1.22,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,2.10,,
23,Calcio,mg,13.00,1.62,
24,Sodio,mg,17.00,,
25,Potassio,mg,370.00,11.94,
26,Fosforo,mg,94.00,11.75,
27,Zinco,mg,0.50,5.00,
28,Tiamina (Vit.B1),mg,0.04,2.84,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.01,0.62,
31,Niacina (Vit. PP),mg,0.50,2.74,
32,Vitamina C,mg,3.00,5.00,
33,Acido folico,mg,26.00,13.00,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.73,7.30,
