,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,70.00,,
2,Calorie,kcal,113.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,26.40,,81.86
5,Proteine animali,g,26.40,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,0.00,,0.00
8,Glucidi solubili,g,0.00,,
9,Amido,g,0.00,,
10,Lipidi totali,g,2.60,,18.14
11,Lipidi animali,g,2.60,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,0.79,,
14,Acido oleico,g,0.83,,
15,Monoinsaturi totali,g,0.95,,
16,Acido linoleico,g,0.52,,
17,Acido linolenico,g,0.52,,
18,Altri polinsaturi,g,0.05,,
19,Polinsaturi totali,g,1.09,,
20,Colesterolo,mg,86.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,4.50,,
23,Calcio,mg,34.00,4.25,
24,Sodio,mg,115.00,,
25,Potassio,mg,37.00,1.19,
26,Fosforo,mg,200.00,25.00,
27,Zinco,mg,1.90,19.00,
28,Tiamina (Vit.B1),mg,0.08,5.67,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.31,19.37,
31,Niacina (Vit. PP),mg,4.60,25.23,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,28.00,14.00,
34,Retinolo (equivalente),mcg,0.00,0.00,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,0.40,4.00,
38,Vitamina E,mg,0.00,0.00,
