,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,86.20,,
2,Calorie,kcal,38.00,,
3,Fibra alimentare,g,1.30,,
4,Proteine totali,g,0.80,,8.47
5,Proteine animali,g,0.00,,
6,Proteine vegetali,g,0.80,,
7,Glucidi disponibili,g,9.00,,89.14
8,Glucidi solubili,g,9.00,,
9,Amido,g,0.00,,
10,Lipidi totali,g,0.10,,2.38
11,Lipidi animali,g,0.00,,
12,Lipidi vegetali,g,0.10,,
13,Lipidi saturi totali,g,0.02,,
14,Acido oleico,g,0.03,,
15,Monoinsaturi totali,g,0.03,,
16,Acido linoleico,g,0.02,,
17,Acido linolenico,g,0.02,,
18,Altri polinsaturi,g,0.00,,
19,Polinsaturi totali,g,0.04,,
20,Colesterolo,mg,0.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.60,,
23,Calcio,mg,30.00,3.75,
24,Sodio,mg,3.00,,
25,Potassio,mg,229.00,7.39,
26,Fosforo,mg,18.00,2.25,
27,Zinco,mg,0.10,1.00,
28,Tiamina (Vit.B1),mg,0.03,2.13,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.03,1.88,
31,Niacina (Vit. PP),mg,0.50,2.74,
32,Vitamina C,mg,11.00,18.33,
33,Acido folico,mg,0.00,0.00,
34,Retinolo (equivalente),mcg,19.00,16.29,
35,Retinolo,mcg,0.00,,
36,Carotene,mcg,114.00,,
37,Vitamina D,mcg,0.00,0.00,
38,Vitamina E,mg,0.10,1.00,
