,0,1,2,3,4
0,,U.M.,Quantità,% RDA,% su tot. macronutrienti
1,Acqua,g,73.20,,
2,Calorie,kcal,145.00,,
3,Fibra alimentare,g,0.00,,
4,Proteine totali,g,14.60,,40.33
5,Proteine animali,g,14.60,,
6,Proteine vegetali,g,0.00,,
7,Glucidi disponibili,g,0.00,,0.00
8,Glucidi solubili,g,0.00,,
9,Amido,g,0.00,,
10,Lipidi totali,g,9.60,,59.67
11,Lipidi animali,g,9.60,,
12,Lipidi vegetali,g,0.00,,
13,Lipidi saturi totali,g,2.18,,
14,Acido oleico,g,1.47,,
15,Monoinsaturi totali,g,2.56,,
16,Acido linoleico,g,0.13,,
17,Acido linolenico,g,0.13,,
18,Altri polinsaturi,g,3.65,,
19,Polinsaturi totali,g,3.91,,
20,Colesterolo,mg,60.00,,
21,Alcool,g,0.00,,
22,Ferro,mg,0.00,,
23,Calcio,mg,888.00,111.00,
24,Sodio,mg,120.00,,
25,Potassio,mg,360.00,11.61,
26,Fosforo,mg,350.00,43.75,
27,Zinco,mg,1.00,10.00,
28,Tiamina (Vit.B1),mg,0.00,0.00,
29,Vitamina B6,mg,0.00,0.00,
30,Riboflavina,mg,0.22,13.75,
31,Niacina (Vit. PP),mg,6.70,36.75,
32,Vitamina C,mg,0.00,0.00,
33,Acido folico,mg,4.00,2.00,
34,Retinolo (equivalente),mcg,113.00,16.14,
35,Retinolo,mcg,113.00,,
36,Carotene,mcg,0.00,,
37,Vitamina D,mcg,11.00,110.00,
38,Vitamina E,mg,0.29,2.90,
