Minerali,per porzione,% RDA
Calcio,"20,0 mg","2,0 %"
Rame,"< 0,1 mg","8,7 %"
Ferro,"0,8 mg","5,4 %"
Magnesio,"11,8 mg","3,9 %"
Manganese,"0,2 mg","8,0 %"
Fosforo,"28,1 mg","4,0 %"
Potassio,"75,3 mg","3,8 %"
Selenio,"< 0,1 mg","2,2 %"
Zinco,"0,2 mg","2,8 %"
