,0,1,2,3
1,Proteine(%): 23.6,,,
2,Lisina:,2100,8.89,
3,Istidina:,805,3.41,
4,Arginina:,1436,6.08,
5,Acido aspartico:,2284,9.67,
6,Treonina:,1067,4.52,
7,Serina:,938,3.97,
8,Acido glutamico:,3597,15.23,
9,Prolina:,964,4.08,
10,Glicina:,1190,5.04,
11,Alanina:,1420,6.01,
12,Cistina:,281,1.19,
13,Valina:,1247,5.28,
14,Metionina:,588,2.49,
15,Isoleucina:,1138,4.82,
16,Leucina:,1939,8.21,
17,Tirosina:,810,3.43,
18,Fenilalanina:,961,4.07,
19,Triptofano:,274,1.16,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Trip.,,
