Valori nutrizionali,per porzione,% RDA
Valore calorico,608 kcal 2.545 kJ,"30,4 %"
Grassi,"34,1 g","52,5 %"
Grassi saturi,"14,0 g","63,7 %"
Grassi monoinsaturi,"14,4 g","49,7 %"
Grassi polinsaturi,"4,0 g","26,8 %"
Carboidrati,"60,1 g","22,4 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"16,8 g","23,0 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"83,6 mg","278,8 %"
Sodio,"1,7 g","0,3 %"
Acqua,"87,1 g","4,4 %"
