Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Mueslis with fruits,Mixed cereal flakes,Mueslis,Flakes,Cereal flakes,Breakfast cereals,Breakfasts,Cereals and their products,Cereali e patate,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,5 g,"-57%11,5 g","-64%13,9 g","-64%13,9 g","-59%12,2 g","-59%12,2 g","-56%11,3 g","-59%12,1 g","-5%5,26 g","-19%6,21 g","-53%10,7 g","-48%9,61 g"
- Acidi Grassi saturi,"0,8 g","-77%3,43 g","-79%3,8 g","-79%3,8 g","-76%3,27 g","-76%3,27 g","-77%3,43 g","-77%3,41 g","-43%1,41 g","-52%1,68 g","-66%2,35 g","-62%2,11 g"
Carboidrati,61 g,"-2%62,3 g","-1%61,4 g","-1%61,4 g",-3%63 g,-3%63 g,"-6%64,7 g","0%60,7 g","+1%60,4 g","+2%59,9 g","+28%47,6 g","+39%43,9 g"
- Zuccheri,15 g,"-29%21,1 g","-29%21,1 g","-29%21,1 g","-18%18,2 g","-18%18,2 g","-22%19,3 g","-65%42,3 g","+97%7,6 g","+128%6,57 g","+75%8,57 g","+70%8,8 g"
Fibra alimentare,"9,4 g",?,"+25%7,55 g","+25%7,55 g","+29%7,26 g","+29%7,26 g","+30%7,21 g","+80%5,23 g","+100%4,7 g","+100%4,71 g","+116%4,35 g","+133%4,03 g"
Proteine,11 g,"+26%8,76 g","+21%9,11 g","+21%9,11 g","+19%9,23 g","+19%9,23 g","+20%9,15 g","+104%5,4 g","+12%9,83 g","+16%9,47 g","+42%7,75 g","+58%6,98 g"
Sale,"0,02 g","-91%0,231 g","-93%0,279 g","-93%0,279 g","-95%0,364 g","-95%0,364 g","-96%0,511 g","-93%0,292 g","-93%0,307 g","-97%0,732 g","-97%0,594 g","-96%0,534 g"
Sodio,"0,008 g","-91%0,091 g","-93%0,11 g","-93%0,11 g","-95%0,143 g","-95%0,143 g","-96%0,201 g","-93%0,115 g","-93%0,121 g","-97%0,288 g","-97%0,234 g","-96%0,21 g"
Nutrition score - France,-3,"-152%5,82","-138%7,89","-138%7,89","-144%6,83","-144%6,83","-138%7,84","-125%12,1","-439%0,885","-197%3,08","-197%3,1","-177%3,88"
Nutri-Score,A,C,C,C,C,C,C,D,B,C,C,C
