,0,1,2,3
1,Proteine(%): 32,,,
2,Lisina:,2929,9.27,
3,Istidina:,1308,4.14,
4,Arginina:,2048,6.48,
5,Acido aspartico:,2945,9.32,
6,Treonina:,1529,4.84,
7,Serina:,1296,4.1,
8,Acido glutamico:,4573,14.47,
9,Prolina:,1182,3.74,
10,Glicina:,1371,4.34,
11,Alanina:,1852,5.86,
12,Cistina:,367,1.16,
13,Valina:,1687,5.34,
14,Metionina:,945,2.99,
15,Isoleucina:,1608,5.09,
16,Leucina:,2651,8.39,
17,Tirosina:,1125,3.56,
18,Fenilalanina:,1330,4.21,
19,Triptofano:,325,1.03,
20,Indice Chimico:,94,,
21,Aminoacido limitante:,Trip.,,
