,0,1,2,3
1,Proteine(%): 15,,,
2,Lisina:,520,3.47,
3,Istidina:,400,2.67,
4,Arginina:,1740,11.6,
5,Acido aspartico:,1500,10,
6,Treonina:,590,3.93,
7,Serina:,850,5.67,
8,Acido glutamico:,3620,24.13,
9,Prolina:,690,4.6,
10,Glicina:,800,5.33,
11,Alanina:,700,4.67,
12,Cistina:,280,1.87,
13,Valina:,910,6.07,
14,Metionina:,270,1.8,
15,Isoleucina:,730,4.87,
16,Leucina:,1280,8.53,
17,Tirosina:,490,3.27,
18,Fenilalanina:,790,5.27,
19,Triptofano:,240,1.6,
20,Indice Chimico:,60,,
21,Aminoacido limitante:,Lis.,,
