,0,1,2,3
1,Proteine(%): 7.2,,,
2,Lisina:,100,1.39,
3,Istidina:,138,1.92,
4,Arginina:,224,3.11,
5,Acido aspartico:,305,4.24,
6,Treonina:,199,2.76,
7,Serina:,357,4.96,
8,Acido glutamico:,2538,35.25,
9,Prolina:,780,10.83,
10,Glicina:,245,3.4,
11,Alanina:,221,3.07,
12,Cistina:,180,2.5,
13,Valina:,291,4.04,
14,Metionina:,110,1.53,
15,Isoleucina:,242,3.36,
16,Leucina:,503,6.99,
17,Tirosina:,206,2.86,
18,Fenilalanina:,353,4.9,
19,Triptofano:,74,1.03,
20,Indice Chimico:,24,,
21,Aminoacido limitante:,Lis.,,
