Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,5 mg","42,0 %"
Vitamina B11,"0,0 mg","0,0 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,3 mg","22,0 %"
Vitamina B3,"4,7 mg","29,6 %"
Vitamina B5,"0,8 mg","13,6 %"
Vitamina B6,"0,2 mg","11,0 %"
Vitamina C,"4,0 mg","5,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
