,0,1,2,3
1,Proteine(%): 35.5,,,
2,Lisina:,3497,9.85,
3,Istidina:,,,
4,Arginina:,1938,5.46,
5,Acido aspartico:,2723,7.67,
6,Treonina:,1516,4.27,
7,Serina:,1917,5.4,
8,Acido glutamico:,4530,12.76,
9,Prolina:,3688,10.39,
10,Glicina:,1839,5.18,
11,Alanina:,2453,6.91,
12,Cistina:,554,1.56,
13,Valina:,1569,4.42,
14,Metionina:,824,2.32,
15,Isoleucina:,1757,4.95,
16,Leucina:,2822,7.95,
17,Tirosina:,1466,4.13,
18,Fenilalanina:,1697,4.78,
19,Triptofano:,547,1.54,
20,Indice Chimico:,,,
21,Aminoacido limitante:,,,
