Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"1,7 mg","157,2 %"
Vitamina B11,"0,3 mg","63,6 %"
Vitamina B12,"< 0,1 mg","217,4 %"
Vitamina B2,"1,5 mg","105,9 %"
Vitamina B3,"29,6 mg","185,3 %"
Vitamina B5,"0,0 mg","0,0 %"
Vitamina B6,"2,7 mg","194,1 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"1,2 mg","10,1 %"
Vitamina K,"< 0,1 mg","< 0,1 %"
