0,1
Grassi saturi totali,0.48
C4:0\÷C10:0 (laurico),0.00
C12:0 (laurico),6.00
C14:0 (miristico),0.01
C16:0 (palmitico),0.41
C18:0 (stearico),0.01
C20:0 (arachidico),
C22:0 (beenico),
Grassi monoinsaturi totali,0.29
C14:1 (miristoleico),
C16:1 (palmitoleico),6.00
C18:1 (oleico),0.24
C20:1 (eicosaenoico),
C22:1 (erucico),
Grassi polinsaturi totali,1.10
C18:2 W6 (linoleico),0.99
C18:3 W3 (linolenico),0.11
C20:4 W6 (arachidonico),
C20:5 W3 (eicosapentaenoico - EPA),
C22:6 W3 (docosaesaenoico - DHA),
Rapporto Polinsaturi/Saturi,2.20
