,0,1,2,3
1,Proteine(%): 25.8,,,
2,Lisina:,2190,8.49,
3,Istidina:,1428,5.53,
4,Arginina:,1766,6.85,
5,Acido aspartico:,2383,9.24,
6,Treonina:,1077,4.17,
7,Serina:,,0,
8,Acido glutamico:,4005,15.52,
9,Prolina:,980,3.8,
10,Glicina:,1246,4.83,
11,Alanina:,1609,6.24,
12,Cistina:,762,2.95,
13,Valina:,1307,5.06,
14,Metionina:,738,2.86,
15,Isoleucina:,1307,5.06,
16,Leucina:,2202,8.53,
17,Tirosina:,980,3.8,
18,Fenilalanina:,1149,4.45,
19,Triptofano:,218,0.84,
20,Indice Chimico:,82,,
21,Aminoacido limitante:,Trip.,,
