,0,1,2,3
1,Proteine(%): 12.6,,,
2,Lisina:,1071,8.51,
3,Istidina:,389,3.09,
4,Arginina:,820,6.51,
5,Acido aspartico:,1175,9.33,
6,Treonina:,563,4.47,
7,Serina:,550,4.37,
8,Acido glutamico:,1956,15.54,
9,Prolina:,573,4.55,
10,Glicina:,643,5.11,
11,Alanina:,724,5.75,
12,Cistina:,149,1.18,
13,Valina:,680,5.4,
14,Metionina:,358,2.84,
15,Isoleucina:,589,4.68,
16,Leucina:,1031,8.19,
17,Tirosina:,466,3.7,
18,Fenilalanina:,562,4.46,
19,Triptofano:,126,1,
20,Indice Chimico:,91,,
21,Aminoacido limitante:,Trip.,,
