,0,1,2,3,4,5
1,"Categoria merceologica: 11001 - pesci vertebrati (freschi, surgelati o cotti)",,,,,
2,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
3,Contenuti in 100 g / unità,,,,,
4,COMPONENTI PRINCIPALI,,,,,
5,"Parte edibile, %",65,AA,122400,,"""Salmone, fresco"""
6,"Energia, ricalcolata, kJ",608,86,,,
7,"Energia, Ric con fibra, kJ",608,86,,,
8,"Energia, ricalcolata, kcal",145,86,,,
9,"Energia, Ric con fibra, kcal",145,86,,,
10,"Proteine totali, g",192,AA,123300,,
11,"Proteine animali, g",192,AA,123300,,
12,"Proteine vegetali, g",00,AA,123300,,
13,"Lipidi totali, g",76,AA,123300,,
14,"Lipidi animali, g",76,AA,123300,,
15,"Lipidi vegetali, g",00,AA,123300,,
16,"Colesterolo, mg",66,AA,123300,,
17,"Carboidrati disponibili (MSE), g",00,AO,123300,,
18,"Amido (MSE), g",00,AA,123300,,
19,"Carboidrati solubili (MSE), g",00,AO,123300,,
20,"Fibra alimentare totale, g",00,AA,123300,,
21,"Alcol, g",00,AA,123300,,
22,"Acqua, g",725,AA,123300,,
23,MINERALI ed ELEMENTI IN TRACCIA,,,,,
24,"Ferro, mg",05,AA,123300,,
25,"Calcio, mg",18,AA,123300,,
26,"Sodio, mg",44,AA,123300,,
27,"Potassio, mg",330,AA,123300,,
28,"Fosforo, mg",239,AA,123300,,
29,"Zinco, mg",042,AF,15104,6,"""Sturgeon mixed species raw (acipenser spp)"" acqua 76.55g, prot 16.14g, lip 4.04g"
30,"Magnesio, mg",35,AF,15104,6,
31,"Rame, mg",004,AF,15104,6,
32,"Selenio, µg",126,AF,15104,6,
33,"Cloro, mg",58,G,202,2,"""Salmon, raw"" acqua 67.2g, prot 20.2g, lip 11"
34,"Iodio, µg",37,G,202,2,
35,"Manganese, mg",003,AF,15104,6,
36,"Zolfo, mg",210,Y,7240,2,"""Trout"" acqua 72g, prot 20g, lip 3.3g"
37,VITAMINE IDROSOLUBILI,,,,,
38,"Vitamina B1, Tiamina, mg",007,AF,15104,6,
39,"Vitamina B2, Riboflavina, mg",007,AF,15104,6,
40,"Vitamina C, mg",0,AA,123300,,
41,"Niacina, mg",560,AA,123300,,
42,"Vitamina B6, mg",020,AF,15104,6,
43,"Folati totali, µg",15,AF,15104,6,
44,"Acido pantotenico, mg",075,AF,15104,6,
45,"Biotina, µg",70,G,202,2,
46,"Vitamina B12, µg",22,AF,15104,6,
47,VITAMINE LIPOSOLUBILI,,,,,
48,Retinolo equivalente,,,,,
49,"Retinolo eq. (RE), µg",210,AF,15104,6,
50,"Retinolo, µg",210,AF,15104,6,
51,"ß-carotene eq., µg",0,AA,123300,,
52,"Vitamina E (ATE), mg",050,AF,15104,6,
53,"Vitamina D, µg",800,G,202,2,
54,ACIDI GRASSI,,,,,
