Minerali,per porzione,% RDA
Calcio,"102,7 mg","10,3 %"
Rame,"< 0,1 mg","6,4 %"
Ferro,"1,6 mg","10,6 %"
Magnesio,"13,2 mg","4,4 %"
Manganese,"0,2 mg","10,5 %"
Fosforo,"85,1 mg","12,2 %"
Potassio,"69,3 mg","3,5 %"
Selenio,"< 0,1 mg","39,1 %"
Zinco,"0,4 mg","6,0 %"
