,0,1,2,3
1,Proteine(%): 28.1,,,
2,Lisina:,2163,7.7,
3,Istidina:,724,2.58,
4,Arginina:,879,3.13,
5,Acido aspartico:,1810,6.44,
6,Treonina:,882,3.14,
7,Serina:,1384,4.93,
8,Acido glutamico:,6248,22.23,
9,Prolina:,2645,9.41,
10,Glicina:,496,1.77,
11,Alanina:,832,2.96,
12,Cistina:,136,0.48,
13,Valina:,1800,6.41,
14,Metionina:,825,2.94,
15,Isoleucina:,1421,5.04,
16,Leucina:,2450,8.71,
17,Tirosina:,1464,5.21,
18,Fenilalanina:,1393,4.96,
19,Triptofano:,336,1.2,
20,Indice Chimico:,92,,
21,Aminoacido limitante:,Treo.,,
