Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (1 L)
Grassi,0 g,0 g
- Acidi Grassi saturi,0 g,0 g
Carboidrati,0 g,0 g
- Zuccheri,0 g,0 g
Proteine,0 g,0 g
Sale,"0,06 g","0,6 g"
Sodio,"0,024 g","0,236 g"
Silicio,"17,6 mg",176 mg
Bicarbonato,298 mg,2.980 mg
Potassio,1 mg,10 mg
Cloruro,"2,5 mg",25 mg
Calcio,"51,1 mg",511 mg
Magnesio,"29,7 mg",297 mg
Fluoro,"< 0,1 mg",< 1 mg
pH,754,754
Nutrition score - France,0,0
Nutri-Score,B,B
Nitrates,9 mg,90 mg
Sulfates,"4,1 mg",41 mg
