,0,1,2
0,Composizione chimica,valore per 100g,g/100g Proteine
1,Proteine (%):,32%,
2,Acido aspartico,2945g,9.32
3,Acido glutamico,4573g,14.47
4,Alanina,1852g,5.86
5,Aminoacido limitante,0g,ND
6,Arginina,2048g,6.48
7,Cistina,367g,1.16
8,Fenilalanina,1330g,4.21
9,Glicina,1371g,4.34
10,Indice chimico,94g,ND
11,Isoleucina,1608g,5.09
12,Istidina,1308g,4.14
13,Leucina,2651g,8.39
14,Lisina,2929g,9.27
15,Metionina,945g,2.99
16,Prolina,1182g,3.74
17,Serina,1296g,4.10
18,Tirosina,1125g,3.56
19,Treonina,1529g,4.84
20,Triptofano,325g,1.03
21,Valina,1687g,5.34
