Minerali,per porzione,% RDA
Calcio,"15,0 mg","1,5 %"
Rame,"0,1 mg","10,9 %"
Ferro,"0,8 mg","5,5 %"
Magnesio,"24,0 mg","8,0 %"
Manganese,"< 0,1 mg","1,4 %"
Fosforo,"203,0 mg","29,0 %"
Potassio,"315,0 mg","15,8 %"
Selenio,"< 0,1 mg","27,0 %"
Zinco,"3,1 mg","43,7 %"
