Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Frozen pizzas and pies,Pizza surgelata,Pizzas,Pizzas pies and quiches,Meals,Frozen foods
Grassi,"8,5 g","-4%8,9 g","-4%8,9 g","-4%8,86 g","-5%8,91 g","-2%8,64 g","-17%10,3 g"
- Acidi Grassi saturi,"3,7 g","-16%4,41 g","-16%4,41 g","-16%4,39 g","-16%4,41 g","-1%3,74 g","-32%5,48 g"
Carboidrati,"25,1 g","-13%28,7 g","-13%28,7 g","-13%28,7 g","-12%28,5 g","0%25,1 g","-12%28,4 g"
- Zuccheri,"2,2 g","-21%2,77 g","-21%2,77 g","-19%2,73 g","-21%2,79 g","-38%3,53 g","-79%10,4 g"
Fibra alimentare,"1,6 g","-27%2,19 g","-27%2,19 g","-26%2,16 g","-26%2,15 g","-30%2,3 g","-26%2,16 g"
Proteine,"9,4 g","-5%9,94 g","-5%9,94 g","-6%9,98 g","-4%9,84 g","+12%8,41 g","+23%7,65 g"
Sale,1 g,"-21%1,26 g","-21%1,26 g","-21%1,26 g","-20%1,25 g","-10%1,11 g","+23%0,814 g"
Sodio,"0,394 g","-21%0,496 g","-21%0,496 g","-21%0,496 g","-20%0,492 g","-10%0,437 g","+23%0,32 g"
Nutrition score - France,3,"-60%7,42","-60%7,42","-60%7,52","-60%7,42","-53%6,45","-69%9,54"
Nutri-Score,C,C,C,C,C,C,C
