Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,9 mg","77,3 %"
Vitamina B11,"< 0,1 mg","4,3 %"
Vitamina B12,"< 0,1 mg","897,6 %"
Vitamina B2,"3,1 mg","218,6 %"
Vitamina B3,"19,7 mg","123,0 %"
Vitamina B5,"9,1 mg","151,9 %"
Vitamina B6,"1,1 mg","77,7 %"
Vitamina C,"10,2 mg","12,8 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"1,4 mg","11,3 %"
Vitamina K,"< 0,1 mg","< 0,1 %"
